Code	Description
XaC4i	Diabetic department
XaCAq	Diabetic liaison nurse
XaCGh	Diabetes monitoring invitation
XaCJ2	Diabetic hyperosmolar non-ketotic state
XaD2T	Advanced diabetic retinal disease
XaDZH	Antidiabetic agent
XaE46	Referral to diabetes nurse
XaE4q	Attending diabetes clinic
XaE5T	Mild non proliferative diabetic retinopathy
XaE5U	Moderate non proliferative diabetic retinopathy
XaE5V	Severe non proliferative diabetic retinopathy
XaE5W	Proliferative diabetic retinopathy - non high risk
XaE5X	High risk proliferative diabetic retinopathy
XaE5Y	Inactive proliferative diabetic retinopathy
XaE5Z	Proliferative diabetic retinopathy - iris neovascularisation
XaE5a	Diabetic vitreous haemorrhage
XaE5c	Diabetic macular oedema
XaEHw	[V]Admitted for conversion to insulin
XaEHx	[V]Admitted for commencement of insulin
XaEJQ	Seen in diabetic eye clinic
XaELP	Insulin-dependent diabetes without complication
XaELQ	Non-insulin-dependent diabetes mellitus without complication
XaEVO	Diffuse diabetic maculopathy
XaEVP	Focal diabetic maculopathy
XaEVS	Ischaemic diabetic maculopathy
XaEVT	Mixed diabetic maculopathy
XaEgI	Diabetic on insulin and oral treatment
XaEnn	Insulin dependent diabetes mellitus with mononeuropathy
XaEno	Insulin dependent diabetes mellitus with polyneuropathy
XaEnp	Non-insulin dependent diabetes mellitus with mononeuropathy
XaEnq	Non-insulin dependent diabetes mellitus with polyneuropathy
XaF04	Insulin dependent diabetes mellitus with nephropathy
XaF05	Non-insulin dependent diabetes mellitus with nephropathy
XaF97	Diabetic optic papillopathy
XaFWG	Insulin dependent diabetes mellitus with hypoglycaemic coma
XaFWI	Non-insulin dependent diabetes mellitus with hypoglycaemic coma
XaFm8	Insulin dependent diabetes mellitus with diabetic cataract
XaFmA	Non-insulin dependent diabetes mellitus with diabetic cataract
XaFmK	Insulin dependent diabetes mellitus with peripheral angiopathy
XaFmL	Insulin dependent diabetes mellitus with arthropathy
XaFmM	Insulin dependent diabetes mellitus with neuropathic arthropathy
XaFn7	Non-insulin-dependent diabetes mellitus with peripheral angiopathy
XaFn8	Non-insulin dependent diabetes mellitus with arthropathy
XaFn9	Non-insulin dependent diabetes mellitus with neuropathic arthropathy
XaFvj	Diabetic lipid lowering diet
XaFvk	Diabetic weight reducing diet
XaFx7	DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction
XaIIe	Diabetes care by hospital only
XaIIj	Diabetic retinopathy screening
XaIP5	Non proliferative diabetic retinopathy
XaIPX	Seen by diabetologist
XaIPg	O/E - no right diabetic retinopathy
XaIPj	O/E - no left diabetic retinopathy
XaIPk	O/E - diabetic maculopathy present both eyes
XaIPl	O/E - diabetic maculopathy absent both eyes
XaIQS	Refer to diabetic foot screener
XaIR4	DNA - Did not attend diabetic clinic
XaIW8	High risk non proliferative diabetic retinopathy
XaIeH	O/E - Right diabetic foot at low risk
XaIeI	O/E - Right diabetic foot at high risk
XaIeJ	O/E - Right diabetic foot - ulcerated
XaIeK	O/E - Left diabetic foot - ulcerated
XaIeL	O/E - Left diabetic foot at low risk
XaIeM	O/E - Left diabetic foot at high risk
XaIeR	O/E - Left diabetic foot at moderate risk
XaIeS	O/E - Right diabetic foot at moderate risk
XaIeT	Diabetic foot risk assessment
XaIeU	Diabetic pre-pregnancy counselling
XaIeo	Diabetes: shared care in pregnancy - diabetologist and obstetrician
XaIfG	Type 2 diabetes on insulin
XaIfI	Type 2 diabetes on diet only
XaIfM	Diabetes medication review
XaIrL	Diabetic diet - good compliance
XaIrM	Diabetic diet - poor compliance
XaIrf	Hyperosmolar non-ketotic state in type 2 diabetes mellitus
XaIuE	Diabetic foot examination
XaIyt	Diabetic peripheral neuropathy screening
XaIyz	Diabetes mellitus with persistent microalbuminuria
XaIz0	Diabetes mellitus with persistent proteinuria
XaIzM	Type 1 diabetes mellitus with persistent proteinuria
XaIzN	Type 1 diabetes mellitus with persistent microalbuminuria
XaIzQ	Type 2 diabetes mellitus with persistent proteinuria
XaIzR	Type 2 diabetes mellitus with persistent microalbuminuria
XaJ4Q	Exception reporting: diabetes quality indicators
XaJ4h	Excepted from diabetes quality indicators: Patient unsuitable
XaJ4i	Excepted from diabetes quality indicators: Informed dissent
XaJ5j	Patient on maximal tolerated therapy for diabetes
XaJ7D	Health education - diabetes
XaJEN	Seen in diabetic foot clinic
XaJK3	Diabetic medicine
XaJLa	Diabetic retinopathy 12 month review
XaJLb	Diabetic retinopathy 6 month review
XaJO3	Under care of diabetologist
XaJO4	Under care of diabetes specialist nurse
XaJO9	Under care of diabetic foot screener
XaJOD	Diabetic retinopathy screening not indicated
XaJOE	Diabetic foot examination not indicated
XaJOO	Patient held diabetic record issued
XaJOg	O/E - right eye background diabetic retinopathy
XaJOh	O/E - left eye background diabetic retinopathy
XaJOi	O/E - right eye preproliferative diabetic retinopathy
XaJOj	O/E - left eye preproliferative diabetic retinopathy
XaJOk	O/E - right eye proliferative diabetic retinopathy
XaJOl	O/E - left eye proliferative diabetic retinopathy
XaJOn	O/E - right eye diabetic maculopathy
XaJOo	O/E - left eye diabetic maculopathy
XaJQp	Type 2 diabetes mellitus with exudative maculopathy
XaJSr	Type 1 diabetes mellitus with exudative maculopathy
XaJSv	Diabetes key contact
XaJYg	Diabetes clinical management plan
XaJix	Diabetic foot examination declined
XaJkQ	Diabetic retinopathy screening refused
XaJlI	Pan retinal photocoagulation for diabetes
XaJrD	Informed consent for diabetes national audit
XaJrE	Informed dissent for diabetes national audit
XaKDG	O/E - right eye stable treated proliferative diabetic retinopathy
XaKDH	O/E - left eye stable treated proliferative diabetic retinopathy
XaKGq	Referral to diabetes preconception counselling clinic
XaKGs	Patient diabetes education review
XaKGy	Referral to diabetes structured education programme
XaKH0	Attended diabetes structured education programme
XaKHD	Transition of diabetes care options discussed
XaKHh	O/E - right chronic diabetic foot ulcer
XaKHi	O/E - left chronic diabetic foot ulcer
XaKOF	Patient held diabetic record declined
XaKOs	Diabetic record status
XaKSn	Diabetes care plan agreed
XaKSp	Patient offered diabetes structured education programme
XaKT5	Diabetic patient unsuitable for digital retinal photography
XaKaL	Seen in diabetic nurse consultant clinic
XaKaM	Seen in community diabetes specialist clinic
XaKaW	Diabetic retinopathy screening offered
XaKbH	Seen in community diabetic specialist nurse clinic
XaKbu	Discharged from care of diabetes specialist nurse
XaKcS	O/E - sight threatening diabetic retinopathy
XaKjW	Diabetic monitoring - injection site check declined
XaKjX	Diabetic monitoring - injection site not checked
XaKtr	Insulin therapy declined
XaKvV	Insulin needles changed daily
XaKvW	Insulin needles changed for each injection
XaKwQ	Diabetic 6 month review
XaKyW	Type 1 diabetes mellitus with gastroparesis
XaKyX	Type 2 diabetes mellitus with gastroparesis
XaKzO	Referral to multidisciplinary diabetic clinic
XaKzP	Seen in multidisciplinary diabetic clinic
XaL1R	Insulin needles changed less than once a day
XaL1S	Did not attend diabetic retinopathy clinic
XaL2E	Diabetic monitoring - lower risk albumin excretion
XaL2F	Diabetic monitoring - higher risk albumin excretion
XaLJN	No diabetic retinopathy
XaLMa	Referral to diabetic register
XaLMy	Patient consent given for addition to diabetic register
XaLP3	Referral to diabetic eye clinic
XaLSZ	Diabetic antenatal clinic
XaLSk	Diabetic - adequate control
XaLsL	Diabetic digital retinopathy screening offered
XaMFF	Referral for diabetic retinopathy screening
XaMdq	Insulin dose changed
XaMhJ	Diabetes type 1 review
XaMhK	Diabetes type 2 review
XaMhQ	Referral to community diabetes specialist nurse
XaN1z	Attended diabetes education and self management for ongoing and newly diagnosed structured programme
XaNHW	Diabetes struc ed prog complet
XaNHp	Seen by general practitioner with special interest in diabetes
XaNQV	Information sharing consent status for national screening programme for diabetic retinopathy
XaNTA	Attended DAFNE diabetes structured education programme
XaNTB	DAFNE diabetes structured education programme completed
XaNTC	DESMOND diabetes structured education programme completed
XaNTH	Diabetes structured education programme declined
XaNTQ	Referral to DAFNE diabetes structured education programme
XaNTS	Referral to DESMOND diabetes structured education programme
XaNTa	Did not attend diabetes structured education programme
XaNTd	Did not complete diabetes structured education programme
XaNTe	Did not complete DAFNE diabetes structured education program
XaNTf	Did not complete DESMOND diabetes structured education programme
XaNU1	Did not attend DAFNE diabetes structured education programme
XaNU2	Did not attend DESMOND diabetes structured education programme
XaON1	Referral to diabetes special interest general practitioner
XaOPu	Latent autoimmune diabetes mellitus in adult
XaOzL	Care of diabetic patient
XaP4P	Referral to children's diabetes nurse specialist
XaP5E	Insulin initiation enhanced services administration
XaP63	Insulin treatment initiated
XaPQH	Diabetic foot screen
XaPaa	Eligible for diabetic retinopathy screening
XaPab	Ineligible for diabetic retinopathy screening
XaPac	Eligibility temporarily inactive for diabetic retinopathy screening
XaPad	Eligibility permanently inactive for diabetic retinopathy screening
XaPbv	Does rotate site of insulin injection
XaPem	Diabetic retinopathy screening administrative status
XaPen	Impaired vision due to diabetic retinopathy
XaPjH	Excluded from diabetic retinopathy screening as moved away
XaPjI	Excluded from diabetic retinopathy screening as deceased
XaPjJ	Excluded from diabetic retinopathy screening as under care of ophthalmologist
XaPjK	Excluded from diabetic retinopathy screening as blind
XaPjL	Excluded from diabetic retinopathy screening as no longer diabetic
XaPjM	Declined diabetic retinopathy screening
XaPjN	Excluded from diabetic retinopathy screening as no current contact details
XaPjP	Excluded from diabetic retinopathy screening as learning disability
XaPjQ	Excluded from diabetic retinopathy screening as physical disorder
XaPjR	Excluded from diabetic retinopathy screening
XaPmW	Diabetic femoral mononeuropathy
XaPmX	Diabetic amyotrophy
XaQGH	Discharged from diabetes shared care programme
XaQdT	Diabetes self management plan
XaQjs	Unsuitable for diabetes year of care programme
XaQjt	Declined consent for diabetes year of care programme
XaR5E	History of diabetic complication
XaR7E	Insulin treatment stopped
XaR8L	Education in self management of diabetes
XaRGt	Diabetic on subcutaneous treatment
XaX0F	Excepted from diabetes quality indicators: service unavailable
XaX1n	Diabetes monitoring invitation by SMS (short message service) text messaging
XaX3o	Diabetic dietary review
XaX3p	Type 1 diabetic dietary review
XaX3q	Type 2 diabetic dietary review
XaX3r	Diabetic dietary review declined
XaX49	Referral to type 1 diabetes structured education programme
XaX5D	Diabetes structured education programme completed
XaX6J	O/E - Right diabetic foot at increased risk
XaX6K	O/E - Left diabetic foot at increased risk
XaX8e	Advised ([?AND/OR advice ?AND/OR education]) about diabetes and driving
XaX9n	Pre-conception advice for diabetes mellitus
XaXH5	Diabetic monitoring - injection sites normal
XaXH6	Diabetic monitoring - injection sites abnormal
XaXHD	Did not attend diabetes foot screening
XaXTH	Insulin sensitivity factor - breakfast
XaXTI	Insulin sensitivity factor - lunch
XaXTJ	Insulin sensitivity factor - evening meal
XaXTK	Insulin/carbohydrate ratio - breakfast
XaXTL	Insulin/carbohydrate ratio - lunch
XaXTM	Insulin/carbohydrate ratio - evening meal
XaXTO	Active insulin time
XaXTc	Anti-diabetic drug therapy observation
XaXUy	Mean total daily insulin dose
XaXZR	H/O: diabetes mellitus type 2
XaXZk	Insulin sensitivity factor
XaXZl	Insulin/carbohydrate ratio
XaXZv	H/O: diabetes mellitus type 1
XaXbV	No symptomatic diabetic peripheral neuropathy
XaXbW	Symptomatic diabetic peripheral neuropathy
XaXe2	H/O: diabetic nephropathy
XaXeG	Discussion about changing insulin requirement in pregnancy
XaXeH	Discussion about diabetic ketoacidosis in pregnancy
XaXfW	Insulin dose
XaXfs	Diabetic retinopathy detected by national screening programme
XaXgv	Diabetic erectile dysfunction review
XaXhE	Diabetic assessment of erectile dysfunction
XaXja	No H/O: diabetic nephropathy
XaXjb	No diabetic autonomic neuropathy
XaXkZ	Referral to DESMOND (diabetes education and self management for ongoing and newly diagnosed) diabetes structured education programme declined
XaXnX	H/O diabetic ketoacidosis
XaXnb	Advised to maintain back up supply of insulin for subcutaneous injection
XaXoT	No evidence of diabetic nephropathy
XaXtQ	Insulin infusion rate
XaXv9	Diabetes care plan declined
XaYQX	Insulin alert patient information booklet given
XaYQZ	Insulin passport given
XaYQd	Insulin alert patient information booklet information discussed
XaYQh	Insulin passport completed
XaYQi	Informed dissent not to carry insulin passport
XaYRc	Professional judgement not to engage patient with insulin alert requirements
XaYWU	Referral to diabetic clinic
XaYZP	Diabetes self-management plan review
XaYaB	Referral to community diabetes service
XaYbB	Diabetes self-management plan agreed
XaYwh	Insulin passport checked
XaZCO	Provision of diabetes clinical summary
XaZKr	Insulin administration education
XaZMQ	Diabetes quality of life questionnaire
XaZNW	Referral to community diabetes specialist nurse declined
XaZRZ	Referral to community diabetes clinic
XaZS6	Date insulin pump therapy started
XaZS7	Date insulin pump therapy stopped
XaZcP	Education about diabetic neuropathy
XaZcR	Education about diabetic nephropathy
XaZcT	Education about diabetic retinopathy
XaZig	Diabetes clinical pathway
XaZpJ	Provision of written information about diabetes and driving
XaZuQ	Referral to DAFNE (dose adjustment for normal eating) diabetes structured education programme declined
XaZw5	Diabetic foot screening invitation
XaZw7	Diabetic foot screening invitation first letter
XaZw8	Diabetic foot screening invitation second letter
XaZyM	Diabetic foot screening invitation third letter
Xaa8r	Erectile dysfunction due to diabetes mellitus
XaaCR	In-house diabetic foot screening
XaaCS	In-house diabetic foot screening first appointment
XaaCU	In-house diabetic foot screening follow-up appointment
XaaCV	Discharge from in-house diabetic foot screening
XaaJJ	Conversion to insulin in secondary care
XaaJK	Conversion to insulin by diabetes specialist nurse
XaaNP	Insulin passport not checked
XaaaR	Advice about diabetes and driving
XaadP	Diabetes structured education programme not available
Xaag1	Diabetes Year of Care annual review
Xaagd	Diabetes mellitus in remission
Xaage	Type 1 diabetes mellitus in remission
Xaagf	Type 2 diabetes mellitus in remission
XabAQ	Diabetes Distress Scale 2 item
XabAX	Diabetes Distress Scale 17 item
XabZd	Diabetic foot care education
XabZm	Lifestyle education for diabetes
Xabhn	Discharge from secondary care diabetes service
XabjM	Enquiry about diabetic erectile dysfunction declined
Xac0x	Diabetic peripheral neuropathic pain
Xac26	Provision of written information about diabetes and high blood pressure
Xac27	Provision of written information about diabetes and high haemoglobin A1c level
XacIu	Joint consultation with practice nurse and community diabetes specialist nurse
XacJ1	Joint consultation with General Practitioner and community diabetes specialist nurse
XacSK	Provision of written information about diabetes and high cholesterol
XacXh	Diabetic on non-insulin injectable medication
XacXr	Provision of diabetes identity card
XacY8	Has diabetes identity card
XaccX	Diabetic injection administration education
XaceC	Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) programme
XacsX	Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist
XacsY	Diabetic on insulin and glucagon-like peptide 1 receptor agonist
Xacu2	Recommendation to self-refer for diabetes structured education
Xaczr	FootSkin Scale for Diabetic Neuropathy
Xad5D	Diabetic carbohydrate counting diet
XaeBx	Seen by diabetes specialist nurse
XaeBz	Under care of hospital-based diabetes specialist nurse
XaeC0	Under care of community-based diabetes specialist nurse
Xafj0	Diabetes monitoring SMS (short message service) text message first invitation
Xafj1	Diabetes monitoring SMS (short message service) text message second invitation
Xafj2	Diabetes monitoring SMS (short message service) text message third invitation
XafjT	Diabulimia
XagLc	Diabetes monitoring invitation email
Xagk3	Diabetic skin ulcer
XagrT	Signposting to Diabetes UK
XagrU	Signposting to Diabetes UK Learning Zone
ZV653	[V]Dietary counselling in diabetes mellitus
ZV6DA	[V]Admitted for commencement of insulin
ZV6DB	[V]Admitted for conversion to insulin
