Code	Description	Class1	Class2	Class3
bdeP.	ATENOLOL+BENDROFLUAZIDE 25mg/1.25mg capsules	beta_blocker	thiazide_diuretic	
bdeQ.	*TENBEN capsules	beta_blocker	thiazide_diuretic	
bdeR.	COMBITENS m/r capsules	ace_inhibitor	beta_blocker	
bdfw.	BISOPROLOL FUMARATE 1.25mg tablets	beta_blocker		
bdfx.	BISOPROLOL FUMARATE 2.5mg tablets	beta_blocker		
bdfy.	BISOPROLOL FUMARATE 3.75mg tablets	beta_blocker		
bdfz.	BISOPROLOL FUMARATE 7.5mg tablets	beta_blocker		
bdf..	BISOPROLOL FUMARATE	beta_blocker		
bdf1.	BISOPROLOL FUMARATE 5mg tablets	beta_blocker		
bdf2.	BISOPROLOL FUMARATE 10mg tablets	beta_blocker		
bdf3.	*MONOCOR 5mg tablets	beta_blocker		
bdf4.	*MONOCOR 10mg tablets	beta_blocker		
bdf5.	*EMCOR LS 5mg tablets	beta_blocker		
bdf6.	*EMCOR 10mg tablets	beta_blocker		
bdf7.	*MONOZIDE-10 tablets	beta_blocker	thiazide_diuretic	
bdf8.	BISOPROLOL FUMARATE+HYDROCHLOROTHIAZIDE 10mg/6.25mg tablets	beta_blocker	thiazide_diuretic	
bdf9.	CARDICOR 1.25mg tablets	beta_blocker		
bdfA.	CARDICOR 2.5mg tablets	beta_blocker		
bdfB.	CARDICOR 3.75mg tablets	beta_blocker		
bdfC.	CARDICOR 5mg tablets	beta_blocker		
bdfD.	CARDICOR 7.5mg tablets	beta_blocker		
bdfE.	CARDICOR 10mg tablets	beta_blocker		
bdfF.	*BIPRANIX 5mg tablets	beta_blocker		
bdfG.	*BIPRANIX 10mg tablets	beta_blocker		
bdfH.	*SOLOC 5mg tablets	beta_blocker		
bdfI.	*SOLOC 10mg tablets	beta_blocker		
bdfJ.	VIVACOR 10mg tablets	beta_blocker		
bdfK.	VIVACOR 5mg tablets	beta_blocker		
bdfL.	CONGESCOR 1.25mg tablets	beta_blocker		
bdfM.	CONGESCOR 2.5mg tablets	beta_blocker		
bdg..	*XAMOTEROL FUMARATE	beta_blocker		
bdg1.	*XAMOTEROL 200mg tablets	beta_blocker		
bdg2.	*CORWIN 200mg tablets	beta_blocker		
bdh..	*METOPROLOL FUMARATE	beta_blocker		
bdh1.	METOPROLOL FUMARATE 190mg tablets	beta_blocker		
bdh2.	METOPROLOL FUMARATE 95mg tablets	beta_blocker		
bdh3.	*METOROS 190mg tablets	beta_blocker		
bdh4.	*METOROS 95mg tablets	beta_blocker		
bdi..	*CARTEOLOL HYDROCHLORIDE	beta_blocker		
bdi1.	*CARTEOLOL 10mg tablets	beta_blocker		
bdi2.	*CARTROL 10mg tablets	beta_blocker		
bdj..	CELIPROLOL HYDROCHLORIDE	beta_blocker		
bdj1.	CELIPROLOL 200mg tablets	beta_blocker		
bdj2.	CELECTOL 200mg tablets 28-CP	beta_blocker		
bdj3.	CELECTOL 200mg tablets	beta_blocker		
bdj4.	CELIPROLOL 400mg tablets	beta_blocker		
bdj5.	CELECTOL 400mg tablets	beta_blocker		
bdk..	ESMOLOL HYDROCHLORIDE	beta_blocker		
bdk1.	ESMOLOL HCL 2.5g/10mL injection	beta_blocker		
bdk2.	ESMOLOL HCL 100mg/10mL injection	beta_blocker		
bdk3.	BREVIBLOC CONCENTRATE 2.5g/10mL injection	beta_blocker		
bdk4.	BREVIBLOC 100mg/10mL injection	beta_blocker		
bdk5.	ESMOLOL HYDROCHLORIDE 10mg/mL infusion solution	beta_blocker		
bdk6.	BREVIBLOC 10mg/mL infusion solution	beta_blocker		
bdk7.	ESMOLOL HYDROCHLORIDE 2.5g powder for solution for injection	beta_blocker		
bdl..	CARVEDILOL	beta_blocker		
bdl1.	*EUCARDIC 12.5 tablets	beta_blocker		
bdl2.	*EUCARDIC 25 tablets	beta_blocker		
bdl3.	CARVEDILOL 12.5mg tablets	beta_blocker		
bdl4.	CARVEDILOL 25mg tablets	beta_blocker		
bdl5.	CARVEDILOL 3.125mg tablets	beta_blocker		
bdl6.	CARVEDILOL 6.25mg tablets	beta_blocker		
bdl7.	*EUCARDIC 3.125 tablets	beta_blocker		
bdl8.	*EUCARDIC 6.25 tablets	beta_blocker		
bdmy.	NEBIVOLOL 2.5mg tablets	beta_blocker		
bdmz.	NEBIVOLOL 5mg tablets	beta_blocker		
bdm..	NEBIVOLOL	beta_blocker		
bdm1.	NEBILET 5mg tablets	beta_blocker		
bdm2.	HYPOLOC 5mg tablets	beta_blocker		
bdn..	PROPRANOLOL HYDROCHLORIDE [2]	beta_blocker		
bdn1.	SYPROL 50mg/5mL oral solution	beta_blocker		
bdn2.	BEDRANOL SR 80mg m/r capsules	beta_blocker		
bdn3.	*RAPRANOL SR 80mg m/r capsules	beta_blocker		
bdn4.	RAPRANOL SR 160mg m/r capsules	beta_blocker		
bdn5.	SYPROL 40mg/5mL oral solution	beta_blocker		
bdn6.	PROPRANOLOL HYDROCHLORIDE 40mg/5mL sugar free oral solution	beta_blocker		
bf2j.	METHYLDOPA+HYDROCHLOROTHIAZIDE 250mg/15mg tablets	thiazide_diuretic		
bf3c.	*SERPASIL-ESIDREX tablets	thiazide_diuretic		
bi...	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS	ace_inhibitor		
bi1a.	CAPOTEN 50mg tablets x56	ace_inhibitor		
bi1b.	ACEZIDE 50mg tablets x56	ace_inhibitor	thiazide_diuretic	
bi1c.	*CAPOZIDE 50mg tablets x28	ace_inhibitor	thiazide_diuretic	
bi1d.	*CAPOZIDE LS 25mg tabletsx28CP	ace_inhibitor	thiazide_diuretic	
bi1e.	CAPTOPRIL+HYDROCHLOROTHIAZIDE 25mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi1f.	CAPTOPRIL+HYDROCHLOROTHIAZIDE 50mg/25mg tablets	ace_inhibitor	thiazide_diuretic	
bi1g.	ECOPACE 12.5mg tablets	ace_inhibitor		
bi1h.	ECOPACE 25mg tablets	ace_inhibitor		
bi1i.	ECOPACE 50mg tablets	ace_inhibitor		
bi1j.	*KAPLON 12.5mg tablets	ace_inhibitor		
bi1k.	*KAPLON 25mg tablets	ace_inhibitor		
bi1l.	*KAPLON 50mg tablets	ace_inhibitor		
bi1m.	*HYTENEZE 12.5 tablets	ace_inhibitor		
bi1n.	*HYTENEZE 25 tablets	ace_inhibitor		
bi1o.	*HYTENEZE 50 tablets	ace_inhibitor		
bi1p.	*TENSOPRIL 12.5mg tablets	ace_inhibitor		
bi1q.	*TENSOPRIL 25mg tablets	ace_inhibitor		
bi1r.	*TENSOPRIL 50mg tablets	ace_inhibitor		
bi1s.	CAPOZIDE 50mg/25mg tablets	ace_inhibitor	thiazide_diuretic	
bi1v.	CAPTOPRIL 12.5mg tablets	ace_inhibitor		
bi1w.	CAPTOPRIL 25mg tablets	ace_inhibitor		
bi1x.	CAPTOPRIL 25mg tablets x56	ace_inhibitor		
bi1y.	CAPTOPRIL 50mg tablets x56	ace_inhibitor		
bi1z.	CAPTOPRIL 50mg tablets	ace_inhibitor		
bi1..	CAPTOPRIL	ace_inhibitor		
bi11.	ACEPRIL 12.5mg tablets	ace_inhibitor		
bi12.	ACEPRIL 25mg tablets	ace_inhibitor		
bi13.	ACEPRIL 25mg tablets x56	ace_inhibitor		
bi14.	ACEPRIL 50mg tablets	ace_inhibitor		
bi15.	ACEPRIL 50mg tablets x56	ace_inhibitor		
bi16.	*CAPOTEN 12.5mg tablets	ace_inhibitor		
bi17.	CAPOTEN 25mg tablets	ace_inhibitor		
bi18.	CAPOTEN 25mg tablets x56	ace_inhibitor		
bi19.	CAPOTEN 50mg tablets	ace_inhibitor		
bi1A.	*HYPAPRIL 12.5mg tablets	ace_inhibitor		
bi1B.	*HYPAPRIL 25mg tablets	ace_inhibitor		
bi1C.	*HYPAPRIL 50mg tablets	ace_inhibitor		
bi1D.	*CAPTO-CO 25mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi1E.	*CAPTO-CO 50mg/25mg tablets	ace_inhibitor	thiazide_diuretic	
bi1F.	CO-ZIDOCAPT 25mg/12.5mg tablet	ace_inhibitor	thiazide_diuretic	
bi1G.	*CO-ZIDOCAPT 50mg/25mg tablets	ace_inhibitor	thiazide_diuretic	
bi1H.	NOYADA 5mg/5mL oral solution	ace_inhibitor		
bi1I.	CAPTOPRIL 5mg/5mL oral solution	ace_inhibitor		
bi1J.	NOYADA 25mg/5mL oral solution	ace_inhibitor		
bi1K.	CAPTOPRIL 25mg/5mL oral solution	ace_inhibitor		
bi2a.	ENALAPRIL MALEATE tablets titration pack	ace_inhibitor		
bi2b.	ENALAPRIL MALEATE+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi2t.	ENALAPRIL MALEATE 2.5mg tablets	ace_inhibitor		
bi2u.	ENALAPRIL MALEATE 5mg tablets	ace_inhibitor		
bi2v.	ENALAPRIL MALEATE 5mg tablets x28	ace_inhibitor		
bi2w.	ENALAPRIL MALEATE 10mg tablets	ace_inhibitor		
bi2x.	ENALAPRIL MALEATE 10mg tablets x28	ace_inhibitor		
bi2y.	ENALAPRIL MALEATE 20mg tablets	ace_inhibitor		
bi2z.	ENALAPRIL MALEATE 20mg tablets x28	ace_inhibitor		
bi2..	ENALAPRIL MALEATE	ace_inhibitor		
bi21.	INNOVACE 2.5mg tablets	ace_inhibitor		
bi22.	INNOVACE 5mg tablets	ace_inhibitor		
bi23.	INNOVACE 5mg tablets x28	ace_inhibitor		
bi24.	INNOVACE 10mg tablets	ace_inhibitor		
bi25.	INNOVACE 10mg tablets x28	ace_inhibitor		
bi26.	INNOVACE 20mg tablets	ace_inhibitor		
bi27.	INNOVACE 20mg tablets x28	ace_inhibitor		
bi28.	INNOZIDE 20/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi29.	INNOVACE tablets titration pack	ace_inhibitor		
bi2A.	*ENALAPRIL MALEATE 2.5mg wafer	ace_inhibitor		
bi2B.	*ENALAPRIL MALEATE 5mg wafer	ace_inhibitor		
bi2C.	*ENALAPRIL MALEATE 10mg wafer	ace_inhibitor		
bi2D.	*ENALAPRIL MALEATE 20mg wafer	ace_inhibitor		
bi2E.	*INNOVACE MELT 2.5mg wafer	ace_inhibitor		
bi2F.	*INNOVACE MELT 5mg wafer	ace_inhibitor		
bi2G.	*INNOVACE MELT 10mg wafer	ace_inhibitor		
bi2H.	*INNOVACE MELT 20mg wafer	ace_inhibitor		
bi2J.	*PRALENAL 2.5mg tablets	ace_inhibitor		
bi2K.	*PRALENAL 5mg tablets	ace_inhibitor		
bi2L.	*PRALENAL 10mg tablets	ace_inhibitor		
bi2M.	*PRALENAL 20mg tablets	ace_inhibitor		
bi3a.	*CARACE 20mg tablets 28CP	ace_inhibitor	thiazide_diuretic	
bi3b.	*CARACE 20mg tablets	ace_inhibitor	thiazide_diuretic	
bi3c.	*ZESTRIL 2.5mg tablets 28CP	ace_inhibitor		
bi3d.	*ZESTRIL 2.5mg tablets	ace_inhibitor		
bi3e.	ZESTRIL 5mg tablets 28CP	ace_inhibitor		
bi3f.	ZESTRIL 5mg tablets	ace_inhibitor		
bi3g.	ZESTRIL 10mg tablets 28CP	ace_inhibitor		
bi3h.	ZESTRIL 10mg tablets	ace_inhibitor		
bi3i.	ZESTRIL 20mg tablets 28CP	ace_inhibitor		
bi3j.	ZESTRIL 20mg tablets	ace_inhibitor		
bi3k.	CARACE 20 PLUS tablets	ace_inhibitor	thiazide_diuretic	
bi3l.	*CARACE 10 PLUS tablets	ace_inhibitor	thiazide_diuretic	
bi3m.	*ZESTORETIC tablets 28CP	ace_inhibitor	thiazide_diuretic	
bi3n.	ZESTORETIC 20/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3p.	LISINOPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3q.	*ZESTRIL 2.5mg starter pack	ace_inhibitor		
bi3r.	LISINOPRIL 2.5mg tablets starter pack	ace_inhibitor		
bi3s.	ZESTORETIC 10/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3t.	LISINOPRIL+HYDROCHLOROTHIAZIDE 10mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3u.	*CARALPHA 10/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3v.	*CARALPHA 20/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3w.	LISICOSTAD HCT 20/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3x.	LISICOSTAD HCT 10/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi3y.	LISINOPRIL 1mg/mL oral solution	ace_inhibitor		
bi3..	LISINOPRIL	ace_inhibitor		
bi31.	LISINOPRIL 2.5mg tablets	ace_inhibitor		
bi32.	LISINOPRIL 5mg tablets	ace_inhibitor		
bi33.	LISINOPRIL 10mg tablets	ace_inhibitor		
bi34.	LISINOPRIL 20mg tablets	ace_inhibitor		
bi35.	*CARACE 2.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi36.	*CARACE 5mg tablets 28CP	ace_inhibitor	thiazide_diuretic	
bi37.	*CARACE 5mg tablets	ace_inhibitor	thiazide_diuretic	
bi38.	*CARACE 10mg tablets 28CP	ace_inhibitor	thiazide_diuretic	
bi39.	*CARACE 10mg tablets	ace_inhibitor	thiazide_diuretic	
bi4..	QUINAPRIL	ace_inhibitor		
bi41.	QUINAPRIL 5mg tablets	ace_inhibitor		
bi42.	QUINAPRIL 10mg tablets	ace_inhibitor		
bi43.	QUINAPRIL 20mg tablets	ace_inhibitor		
bi44.	ACCUPRO 5mg tablets 28CP	ace_inhibitor		
bi45.	ACCUPRO 10mg tablets 28CP	ace_inhibitor		
bi46.	ACCUPRO 20mg tablets 28CP	ace_inhibitor		
bi47.	ACCURETIC tablets	ace_inhibitor	thiazide_diuretic	
bi48.	QUINAPRIL+HYDROCHLOROTHIAZIDE 10/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi49.	ACCUPRO 40mg tablets	ace_inhibitor		
bi4A.	QUINAPRIL 40mg tablets	ace_inhibitor		
bi4B.	QUINIL 5mg tablets	ace_inhibitor		
bi4C.	QUINIL 10mg tablets	ace_inhibitor		
bi4D.	QUINIL 20mg tablets	ace_inhibitor		
bi4E.	QUINIL 40mg tablets	ace_inhibitor		
bi4F.	QUINAPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets	ace_inhibitor	thiazide_diuretic	
bi5..	PERINDOPRIL ERBUMINE	ace_inhibitor		
bi51.	PERINDOPRIL ERBUMINE 2mg tablets	ace_inhibitor		
bi52.	PERINDOPRIL ERBUMINE 4mg tablets	ace_inhibitor		
bi53.	*COVERSYL 2mg tablets	ace_inhibitor		
bi54.	*COVERSYL 4mg tablets	ace_inhibitor		
bi55.	PERINDOPRIL ERBUMINE+INDAPAMIDE 4mg/1.25mg tablets	ace_inhibitor	thiazide_diuretic	
bi56.	COVERSYL PLUS 4mg/1.25mg tablets	ace_inhibitor	thiazide_diuretic	
bi57.	PERINDOPRIL ERBUMINE 8mg tablets	ace_inhibitor		
bi58.	*COVERSYL 8mg tablets	ace_inhibitor		
bi6o.	TRITACE Titration Pack tablets	ace_inhibitor		
bi6p.	*RANACE 10mg capsules	ace_inhibitor		
bi6q.	*RANACE 5mg capsules	ace_inhibitor		
bi6r.	*RANACE 2.5mg capsules	ace_inhibitor		
bi6s.	*RANACE 1.25mg capsules	ace_inhibitor		
bi6t.	*LOPACE 2.5mg capsules	ace_inhibitor		
bi6u.	*LOPACE 5mg capsules	ace_inhibitor		
bi6v.	*LOPACE 10mg capsules	ace_inhibitor		
bi6w.	TRITACE 10mg tablets	ace_inhibitor		
bi6x.	TRITACE 5mg tablets	ace_inhibitor		
bi6y.	TRITACE 2.5mg tablets	ace_inhibitor		
bi6z.	TRITACE 1.25mg tablets	ace_inhibitor		
bi6..	RAMIPRIL	ace_inhibitor		
bi61.	RAMIPRIL 1.25mg capsules	ace_inhibitor		
bi62.	RAMIPRIL 2.5mg capsules	ace_inhibitor		
bi63.	RAMIPRIL 5mg capsules	ace_inhibitor		
bi64.	*TRITACE 1.25mg capsules	ace_inhibitor		
bi65.	*TRITACE 2.5mg capsules	ace_inhibitor		
bi66.	*TRITACE 5mg capsules	ace_inhibitor		
bi67.	RAMIPRIL 10mg capsules	ace_inhibitor		
bi68.	*TRITACE 10mg capsules	ace_inhibitor		
bi69.	RAMIPRIL 2.5mg+5mg+10mg capsules titration pack	ace_inhibitor		
bi6A.	TRITACE Titration Pack capsules	ace_inhibitor		
bi6B.	RAMIPRIL 1.25mg tablets	ace_inhibitor		
bi6C.	RAMIPRIL 2.5mg tablets	ace_inhibitor		
bi6D.	RAMIPRIL 5mg tablets	ace_inhibitor		
bi6E.	RAMIPRIL 10mg tablets	ace_inhibitor		
bi6F.	RAMIPRIL 2.5mg+5mg+10mg tablets titration pack	ace_inhibitor		
bi6G.	RAMIPRIL 2.5mg/5mL oral solution	ace_inhibitor		
bi7..	SODIUM FOSINOPRIL	ace_inhibitor		
bi71.	FOSINOPRIL 10mg tablets	ace_inhibitor		
bi72.	FOSINOPRIL 20mg tablets	ace_inhibitor		
bi73.	*STARIL 10mg tablets	ace_inhibitor		
bi74.	*STARIL 20mg tablets	ace_inhibitor		
bi8a.	CILAZAPRIL 5mg tablets	ace_inhibitor		
bi8..	CILAZAPRIL	ace_inhibitor		
bi81.	CILAZAPRIL 250micrograms tablets	ace_inhibitor		
bi82.	CILAZAPRIL 500micrograms tablets	ace_inhibitor		
bi83.	*CILAZAPRIL 1mg tablets	ace_inhibitor		
bi84.	*CILAZAPRIL 2.5mg tablets	ace_inhibitor		
bi85.	*VASCACE 250micrograms tablets	ace_inhibitor		
bi86.	*VASCACE 500micrograms tablets	ace_inhibitor		
bi87.	*VASCACE 1mg tablets	ace_inhibitor		
bi88.	*VASCACE 2.5mg tablets	ace_inhibitor		
bi89.	*VASCACE 5mg tablets	ace_inhibitor		
bi9z.	TRANDOLAPRIL 4mg capsules	ace_inhibitor		
bi9..	TRANDOLAPRIL	ace_inhibitor		
bi91.	TRANDOLAPRIL 500micrograms capsules	ace_inhibitor		
bi92.	TRANDOLAPRIL 1mg capsules	ace_inhibitor		
bi93.	TRANDOLAPRIL 2mg capsules	ace_inhibitor		
bi94.	*GOPTEN 500micrograms capsules	ace_inhibitor		
bi95.	*GOPTEN 1mg capsules	ace_inhibitor		
bi96.	*GOPTEN 2mg capsules	ace_inhibitor		
bi97.	*ODRIK 500micrograms capsules	ace_inhibitor		
bi98.	*ODRIK 1mg capsules	ace_inhibitor		
bi99.	*ODRIK 2mg capsules	ace_inhibitor		
bi9A.	*GOPTEN 4mg capsules	ace_inhibitor		
biA..	MOEXIPRIL	ace_inhibitor		
biA1.	MOEXIPRIL HYDROCHLORIDE 7.5mg tablets	ace_inhibitor		
biA2.	MOEXIPRIL HYDROCHLORIDE 15mg tablets	ace_inhibitor		
biA3.	PERDIX 7.5mg tablets	ace_inhibitor		
biA4.	PERDIX 15mg tablets	ace_inhibitor		
biBx.	IMIDAPRIL HYDROCHLORIDE 20mg tablets	ace_inhibitor		
biBy.	IMIDAPRIL HYDROCHLORIDE 5mg tablets	ace_inhibitor		
biBz.	IMIDAPRIL HYDROCHLORIDE 10mg tablets	ace_inhibitor		
biB..	IMIDAPRIL HYDROCHLORIDE	ace_inhibitor		
biB1.	TANATRIL 5mg tablets	ace_inhibitor		
biB2.	TANATRIL 10mg tablets	ace_inhibitor		
biB3.	TANATRIL 20mg tablets	ace_inhibitor		
biC..	PERINDOPRIL ARGININE	ace_inhibitor		
biC1.	COVERSYL ARGININE 2.5mg tablets	ace_inhibitor		
biC2.	PERINDOPRIL ARGININE 2.5mg tablets	ace_inhibitor		
biC3.	COVERSYL ARGININE 5mg tablets	ace_inhibitor		
biC4.	PERINDOPRIL ARGININE 5mg tablets	ace_inhibitor		
biC5.	COVERSYL ARGININE 10mg tablets	ace_inhibitor		
biC6.	PERINDOPRIL ARGININE 10mg tablets	ace_inhibitor		
biC7.	COVERSYL ARGININE PLUS 5mg/1.25mg tablets	ace_inhibitor	thiazide_diuretic	
biC8.	PERINDOPRIL ARGININE+INDAPAMIDE 5mg/1.25mg tablets	ace_inhibitor	thiazide_diuretic	
bk3y.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk3z.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk3..	LOSARTAN	angiotension_receptor_blocker		
bk31.	LOSARTAN POTASSIUM 25mg tablets	angiotension_receptor_blocker		
bk32.	LOSARTAN POTASSIUM 50mg tablets	angiotension_receptor_blocker		
bk33.	COZAAR HALF-STRENGTH 25mg tablets	angiotension_receptor_blocker		
bk34.	COZAAR 50mg tablets	angiotension_receptor_blocker		
bk35.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 50mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk36.	COZAAR-COMP 50mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk37.	LOSARTAN POTASSIUM 100mg tablets	angiotension_receptor_blocker		
bk38.	COZAAR 100mg tablets	angiotension_receptor_blocker		
bk39.	COZAAR-COMP 100mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk3A.	COZAAR-COMP 100mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk3B.	COZAAR 12.5mg tablets	angiotension_receptor_blocker		
bk3C.	LOSARTAN POTASSIUM 12.5mg tablets	angiotension_receptor_blocker		
bk3D.	COZAAR 2.5mg/mL oral suspension	angiotension_receptor_blocker		
bk3E.	LOSARTAN POTASSIUM 2.5mg/mL oral suspension	angiotension_receptor_blocker		
bk3F.	ZOVENCAL 25mg tablets	angiotension_receptor_blocker		
bk3G.	ZOVENCAL 50mg tablets	angiotension_receptor_blocker		
bk3H.	ZOVENCAL 100mg tablets	angiotension_receptor_blocker		
bk4s.	VALSARTAN 80mg tablets	angiotension_receptor_blocker		
bk4t.	VALSARTAN 160mg tablets	angiotension_receptor_blocker		
bk4u.	VALSARTAN 3mg/mL oral solution	angiotension_receptor_blocker		
bk4v.	VALSARTAN 320mg tablets	angiotension_receptor_blocker		
bk4w.	VALSARTAN 40mg tablets	angiotension_receptor_blocker		
bk4x.	VALSARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk4y.	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk4z.	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk4..	VALSARTAN	angiotension_receptor_blocker		
bk41.	VALSARTAN 40mg capsules	angiotension_receptor_blocker		
bk42.	VALSARTAN 80mg capsules	angiotension_receptor_blocker		
bk43.	VALSARTAN 160mg capsules	angiotension_receptor_blocker		
bk44.	DIOVAN 40mg capsules	angiotension_receptor_blocker		
bk45.	DIOVAN 80mg capsules	angiotension_receptor_blocker		
bk46.	DIOVAN 160mg capsules	angiotension_receptor_blocker		
bk47.	CO-DIOVAN 160mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk48.	CO-DIOVAN 160mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk49.	CO-DIOVAN 80mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk4A.	DIOVAN 40mg tablets	angiotension_receptor_blocker		
bk4B.	DIOVAN 320mg tablets	angiotension_receptor_blocker		
bk4C.	DIOVAN 3mg/mL oral solution	angiotension_receptor_blocker		
bk5x.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk5y.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk5z.	IRBESARTAN+HYDROCHLOROTHIAZIDE 150mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk5..	IRBESARTAN	angiotension_receptor_blocker		
bk51.	IRBESARTAN 75mg tablets	angiotension_receptor_blocker		
bk52.	IRBESARTAN 150mg tablets	angiotension_receptor_blocker		
bk53.	IRBESARTAN 300mg tablets	angiotension_receptor_blocker		
bk54.	APROVEL 75mg tablets	angiotension_receptor_blocker		
bk55.	APROVEL 150mg tablets	angiotension_receptor_blocker		
bk56.	APROVEL 300mg tablets	angiotension_receptor_blocker		
bk57.	COAPROVEL 150mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk58.	COAPROVEL 300mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk59.	COAPROVEL 300mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk6..	TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE	ace_inhibitor	calcium_channel_blocker	
bk61.	TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE 2mg/180mg m/r capsules	ace_inhibitor	calcium_channel_blocker	
bk62.	*TARKA 2mg/180mg m/r capsules	ace_inhibitor	calcium_channel_blocker	
bk7z.	CANDESARTAN CILEXETIL 32mg tablets	angiotension_receptor_blocker		
bk7..	CANDESARTAN CILEXETIL	angiotension_receptor_blocker		
bk71.	CANDESARTAN CILEXETIL 2mg tablets	angiotension_receptor_blocker		
bk72.	CANDESARTAN CILEXETIL 4mg tablets	angiotension_receptor_blocker		
bk73.	CANDESARTAN CILEXETIL 8mg tablets	angiotension_receptor_blocker		
bk74.	CANDESARTAN CILEXETIL 16mg tablets	angiotension_receptor_blocker		
bk75.	AMIAS 2mg tablets	angiotension_receptor_blocker		
bk76.	AMIAS 4mg tablets	angiotension_receptor_blocker		
bk77.	AMIAS 8mg tablets	angiotension_receptor_blocker		
bk78.	AMIAS 16mg tablets	angiotension_receptor_blocker		
bk79.	AMIAS 32mg tablets	angiotension_receptor_blocker		
bk8w.	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk8x.	TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk8y.	TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk8z.	TELMISARTAN 20mg tablets	angiotension_receptor_blocker		
bk8..	TELMISARTAN	angiotension_receptor_blocker		
bk81.	TELMISARTAN 40mg tablets	angiotension_receptor_blocker		
bk82.	TELMISARTAN 80mg tablets	angiotension_receptor_blocker		
bk83.	MICARDIS 40mg tablets	angiotension_receptor_blocker		
bk84.	MICARDIS 80mg tablets	angiotension_receptor_blocker		
bk85.	MICARDIS 20mg tablets	angiotension_receptor_blocker		
bk86.	MICARDISPLUS 40mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk87.	MICARDISPLUS 80mg/12.5mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk88.	MICARDISPLUS 80mg/25mg tablets	angiotension_receptor_blocker	thiazide_diuretic	
bk9x.	EPROSARTAN 300mg tablets	angiotension_receptor_blocker		
bk9y.	EPROSARTAN 400mg tablets	angiotension_receptor_blocker		
bk9z.	EPROSARTAN 600mg tablets	angiotension_receptor_blocker		
bk9..	EPROSARTAN	angiotension_receptor_blocker		
bk91.	TEVETEN 300mg tablets	angiotension_receptor_blocker		
